# time of execution: 2022-11-18 12:36:26
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['0.8']
### sample paramters ###
# Sample: ['FGT']
# S=[2.0]
# mu_at=[2.0][mu_B]
# nz=1
# dx=[3.9e-10]	dy=[3.9e-10]	dz=[1.63e-09]	[m]
# atoms per unit cell:[10]
# asf=[0.035]
# Jint=[[0.0, 0.0]][J]
# Hex=0.0[J]
# gep=['4.4e+17'][W/m^3/K]
# factor cv_el=['200.0'][J/m^3/K^2]
# cv_ph_max=['2595527.4085388687'][J/m^3/K]
# Tc=[191][K]
# T_Deb=[460][K]
# kappa=[0][W/m/K]
# D=[0][W/m^2]
### pulse paramters ###
# peak power:7.5e+21[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	T_p(acc) [K]	itinerant mag
1.07	[[0.9963894570020918]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.08	[[0.9963566651494645]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.09	[[0.9963238904681638]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.1	[[0.9962911329461261]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.11	[[0.9962583925713007]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.12	[[0.9962256693316486]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.13	[[0.9961929632151414]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.14	[[0.9961602742097618]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.15	[[0.9961276023035027]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.16	[[0.9960949474843704]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.17	[[0.9960623097403823]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.18	[[0.9960296890595651]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.19	[[0.9959970854299565]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.2	[[0.9959644988396077]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.21	[[0.9959319292765787]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.22	[[0.9958993767289421]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.23	[[0.9958668411847804]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.24	[[0.9958343226321876]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.25	[[0.9958018210592694]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
1.26	[[0.9957693364541413]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
